Term,Count,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
dancers,981,0.00058411213,0.00040441175,0.0011365538,0.00063034036,0.00076814357,0.00071525463,0.00016619972,0.00035330834,0.00035868006,0.0010481278,0.0010426752,0.0006924362,0.00077788264,0.0010840471,0.001996008,0.0024595247,0.001043744,0.00025010004
story,977,0.00029205607,0.00077205885,0.000925102,0.0009688565,0.0010600381,0.0007892465,0.0012346265,0.0010206685,0.0009116451,0.000832759,0.0007234889,0.000909671,0.0010839348,0.0011643469,0.00093829434,0.00042774345,0.0009319143,0.0005502201
good,971,0.00058411213,0.000625,0.0009162915,0.0009805295,0.0009064094,0.0011345418,0.0010684268,0.0009028991,0.0007323051,0.00089019065,0.000978838,0.0010725972,0.00076513045,0.00092344754,0.0008188751,0.0009196484,0.00087599945,0.00095038017
new,968,0.0017523364,0.0011764705,0.0011189329,0.0008171079,0.00062987773,0.00083857443,0.000522342,0.0006673602,0.0010760402,0.0011199173,0.0008298844,0.0008010536,0.0009436609,0.00096359744,0.0010918335,0.00094103557,0.0008014463,0.0009003601
world,929,0.00058411213,0.000992647,0.0007929446,0.0005486296,0.0005837891,0.00071525463,0.0007122845,0.0007655014,0.00079208513,0.0010481278,0.001117152,0.00105902,0.0010201739,0.00080299785,0.0012112528,0.0006843895,0.0010623824,0.0009003601
piece,925,0,0.00095588237,0.0007929446,0.00092216465,0.00076814357,0.00088790234,0.0013770835,0.0005888472,0.00085186516,0.0008184011,0.0009150007,0.0006924362,0.0007268739,0.0010171307,0.0007847553,0.0014543277,0.0009319143,0.00040016006
end,918,0.0011682243,0.00088235294,0.00095153344,0.0010505673,0.00092177227,0.00081391045,0.0010209412,0.000981412,0.0007024151,0.0005886745,0.00068093074,0.0009504026,0.0007013696,0.0009769808,0.0010406538,0.00072716386,0.0008387229,0.0008003201
man,856,0.0014602804,0.0008455882,0.0006167347,0.0006420133,0.00092177227,0.0009865582,0.00085474143,0.001138438,0.0006725251,0.00096198026,0.0006702912,0.000909671,0.0008799,0.00074946467,0.00095535425,0.0006416152,0.0006896166,0.00095038017
script,845,0.00029205607,0.0017279412,0.0008810495,0.0008171079,0.0009064094,0.0012331976,0.0008784843,0.00084401434,0.0010013152,0.00096198026,0.0007234889,0.00077389926,0.00056109566,0.00072269805,0.0005800365,0.00034219475,0.0004286806,0.00040016006
really,812,0.00029205607,0.0005514706,0.00075770257,0.00092216465,0.00086032075,0.001085214,0.0007360274,0.0004710778,0.0006426351,0.0005168849,0.0007660471,0.0010047113,0.0011094392,0.00068254815,0.000665336,0.00055606646,0.00063370174,0.0007002801
make,796,0,0.000625,0.0006519766,0.00080543495,0.00055306335,0.00071525463,0.00061731326,0.00074587314,0.0008219751,0.0007466115,0.0008724425,0.000909671,0.0007906348,0.0006691649,0.0009041746,0.0008340997,0.0006150635,0.0007002801
tan,773,0.0008761682,0.0008455882,0.0003700408,0.00063034036,0.00059915194,0.0011592058,0.00059357047,0.00074587314,0.00089670013,0.0007178957,0.00086180295,0.00063812744,0.0008799,0.0006156317,0.00087005476,0.000620228,0.00087599945,0.0011004402
scenes,767,0.00058411213,0.0008455882,0.000836997,0.0006770323,0.00038407178,0.00096189417,0.00042737072,0.00078512967,0.0008070301,0.00097633817,0.000744768,0.00052951,0.00052283914,0.00068254815,0.0008871147,0.000620228,0.0008200846,0.00095038017
director,765,0.00029205607,0.000625,0.0005198192,0.000793762,0.0007527807,0.00088790234,0.0008072558,0.0006084755,0.00086681015,0.0007035378,0.0010426752,0.0008010536,0.0006631131,0.0005219486,0.000665336,0.00079132535,0.0005777869,0.00040016006
sense,759,0.00029205607,0.000625,0.000925102,0.00075874303,0.00061451487,0.00044395117,0.000783513,0.0005888472,0.0007323051,0.0007896853,0.0009362798,0.00043446975,0.0006503609,0.0007093148,0.00076769537,0.0006843895,0.00048459545,0.00095038017
different,745,0.00029205607,0.0008455882,0.00080175506,0.0007003782,0.0005837891,0.00091256626,0.0007122845,0.000569219,0.0006575801,0.00089019065,0.0009362798,0.0005430872,0.00061210437,0.0006156317,0.0006994558,0.00040635627,0.0006150635,0.0007503001
music,733,0.0026285048,0.00029411764,0.000977965,0.00095718354,0.00078350643,0.0005672709,0.0007122845,0.0007655014,0.00041846005,0.0005456007,0.0006064539,0.0006109731,0.00052283914,0.0006156317,0.0005970964,0.00081271253,0.00087599945,0.00025010004
people,711,0.0008761682,0.0005147059,0.00077532354,0.00063034036,0.00086032075,0.00044395117,0.00068854174,0.0010010403,0.00059780007,0.0007466115,0.00068093074,0.0004616241,0.00052283914,0.0006156317,0.00056297664,0.0003208076,0.0010810207,0.0007503001
plays,696,0,0.00095588237,0.0005286297,0.0005252836,0.0006759663,0.00083857443,0.0012108837,0.00035330834,0.00079208513,0.00044509533,0.00084052386,0.00070601335,0.0007013696,0.00078961457,0.00037531773,0.00057745364,0.0004473189,0.0008003201
played,690,0.0008761682,0.00058823527,0.00066959765,0.0005019377,0.00070669205,0.0006412628,0.0008784843,0.0010206685,0.0007472501,0.00066046405,0.00077668665,0.00063812744,0.00030605218,0.00050856534,0.0007165157,0.00076993817,0.0004473189,0.0005502201
musical,660,0.0008761682,0.0011029412,0.0007048396,0.0006420133,0.0005223376,0.00029596745,0.0001424569,0.00041219307,0.0007024151,0.0003876637,0.00051069807,0.00070601335,0.00056109566,0.00044164882,0.0012965522,0.00055606646,0.0008014463,0.0011504602
fact,649,0,0.00073529413,0.0007841341,0.00047859177,0.0005684262,0.000542607,0.00033239945,0.0004318213,0.0006276901,0.00063174823,0.00061709346,0.00077389926,0.0008671479,0.0007762313,0.00042649743,0.0002994204,0.00048459545,0.0006002401
quite,637,0.00058411213,0.00029411764,0.00044052475,0.00053695665,0.00050697476,0.00071525463,0.00059357047,0.00074587314,0.0007173601,0.000502527,0.0006702912,0.0005973959,0.0006376087,0.00086991437,0.0005970964,0.0006416152,0.00046595716,0.0005502201
young,635,0,0.0006985294,0.00045814575,0.00044357288,0.0005837891,0.00039462326,0.0006410561,0.00045144954,0.0005380201,0.0008184011,0.00061709346,0.00044804692,0.0006503609,0.00072269805,0.00087005476,0.00072716386,0.0007268932,0.00045018006
lines,613,0.00029205607,0.00047794118,0.0007488921,0.00092216465,0.0007374178,0.00076458254,0.0007122845,0.00052996253,0.00035868006,0.0006173903,0.0005426167,0.0007195905,0.00025504347,0.00038811564,0.00047767712,0.00055606646,0.00039140403,0.00020008003
