Time,Image difference number,Frame number,Non-identical pixels,Scene Number,Scene Type
00:18:54,126,18900,587,4,normal
00:19:03,127,19050,1822.66666666667,4,normal
00:19:12,128,19200,0.333333333333333,4,normal
00:19:21,129,19350,987.333333333333,4,normal
00:19:30,130,19500,386,4,normal
00:19:39,131,19650,2412,4,normal
00:19:48,132,19800,113.666666666667,4,normal
00:19:57,133,19950,99,4,normal
00:20:06,134,20100,121.666666666667,4,normal
00:20:15,135,20250,578.333333333333,4,normal
00:20:24,136,20400,432.333333333333,4,normal
00:20:33,137,20550,1348.33333333333,4,normal
00:20:42,138,20700,2096,4,normal
00:20:51,139,20850,49.3333333333333,4,normal
00:21:00,140,21000,492.666666666667,4,normal
00:21:09,141,21150,479,4,normal
00:21:18,142,21300,1016.66666666667,4,normal
00:21:27,143,21450,754.333333333333,4,normal
00:21:36,144,21600,543,4,normal
00:21:45,145,21750,525.666666666667,5,normal
00:21:54,146,21900,5.66666666666667,5,normal
00:22:03,147,22050,1565.66666666667,5,normal
00:22:12,148,22200,351.333333333333,5,normal
00:22:21,149,22350,2604,5,normal
00:22:30,150,22500,2027,5,normal
00:22:39,151,22650,1771.66666666667,5,normal
00:22:48,152,22800,3735.66666666667,5,normal
00:22:57,153,22950,5946.33333333333,5,normal
00:23:06,154,23100,2869.33333333333,5,normal
00:23:15,155,23250,2554.66666666667,5,normal
00:23:24,156,23400,1734.66666666667,5,normal
00:23:33,157,23550,1963,5,normal
00:23:42,158,23700,787,5,normal
00:23:51,159,23850,0,5,normal
00:24:00,160,24000,322,5,normal
00:24:09,161,24150,725,5,normal
00:24:18,162,24300,9.66666666666667,5,normal
00:24:27,163,24450,36.6666666666667,5,normal
00:24:36,164,24600,1.33333333333333,5,normal
00:24:45,165,24750,56.6666666666667,5,normal
00:24:54,166,24900,268.333333333333,5,normal
00:25:03,167,25050,1381.66666666667,5,normal
00:25:12,168,25200,882.333333333333,5,normal
00:25:21,169,25350,9,5,normal
00:25:30,170,25500,0.666666666666667,6,narrative
00:25:39,171,25650,0,6,narrative
00:25:48,172,25800,73.3333333333333,6,narrative
00:25:57,173,25950,103,6,narrative
00:26:06,174,26100,1054.33333333333,6,narrative
00:26:15,175,26250,894,6,narrative
00:26:24,176,26400,2392.33333333333,6,narrative
00:26:33,177,26550,2600,6,narrative
00:26:42,178,26700,3605.66666666667,6,narrative
00:26:51,179,26850,6634.33333333333,6,narrative
00:27:00,180,27000,788.333333333333,6,narrative
00:27:09,181,27150,227.666666666667,6,narrative
00:27:18,182,27300,0,6,narrative
00:27:27,183,27450,7998,6,narrative
00:27:36,184,27600,4987.33333333333,6,narrative
00:27:45,185,27750,5103.66666666667,6,narrative
00:27:54,186,27900,905.333333333333,6,narrative
00:28:03,187,28050,0,6,narrative
00:28:12,188,28200,0,6,narrative
00:28:21,189,28350,0,6,narrative
00:28:30,190,28500,2454,7,comic
00:28:39,191,28650,1,7,comic
00:28:48,192,28800,1997.33333333333,7,comic
00:28:57,193,28950,2099.66666666667,7,comic
00:29:06,194,29100,1285.33333333333,7,comic
00:29:15,195,29250,1004.66666666667,7,comic
00:29:24,196,29400,2331,7,comic
00:29:33,197,29550,1550.66666666667,7,comic
00:29:42,198,29700,1228.66666666667,7,comic
00:29:51,199,29850,2125.33333333333,7,comic
00:30:00,200,30000,1127,7,comic
00:30:09,201,30150,3029.66666666667,7,comic
00:30:18,202,30300,3095.66666666667,7,comic
00:30:27,203,30450,3185.66666666667,7,comic
00:30:36,204,30600,4453,7,comic
00:30:45,205,30750,2036,7,comic
00:30:54,206,30900,1168,7,comic
00:31:03,207,31050,4721.66666666667,7,comic
00:31:12,208,31200,1521,7,comic
00:31:21,209,31350,822,7,comic
00:31:30,210,31500,55.3333333333333,7,comic
00:31:39,211,31650,3598.33333333333,7,comic
00:31:48,212,31800,4153,7,comic
00:31:57,213,31950,2286.33333333333,7,comic
00:32:06,214,32100,856.666666666666,7,comic
00:32:15,215,32250,274,7,comic
00:32:24,216,32400,2812.33333333333,7,comic
00:32:33,217,32550,1479.33333333333,7,comic
00:32:42,218,32700,872,7,comic
00:32:51,219,32850,3251,7,comic
00:33:00,220,33000,2728,7,comic
00:33:09,221,33150,3979.66666666667,7,comic
00:33:18,222,33300,2744,7,comic
00:33:27,223,33450,2452.66666666667,7,comic
00:33:36,224,33600,1859.33333333333,7,comic
00:33:45,225,33750,6606.33333333333,7,comic
00:33:54,226,33900,69.3333333333333,7,comic
00:34:03,227,34050,38.3333333333333,7,comic
00:34:12,228,34200,1636.33333333333,7,comic
00:34:21,229,34350,369.333333333333,7,comic
00:34:30,230,34500,352,7,comic
00:34:39,231,34650,2021.33333333333,7,comic
00:34:48,232,34800,64.6666666666667,7,comic
00:34:57,233,34950,0,7,comic
00:35:06,234,35100,551.666666666667,7,comic
00:35:15,235,35250,291.333333333333,7,comic
00:35:24,236,35400,48.6666666666667,7,comic
00:35:33,237,35550,333,7,comic
00:35:42,238,35700,564,7,comic
00:35:51,239,35850,366,7,comic
00:36:00,240,36000,1,7,comic
00:36:09,241,36150,264.333333333333,7,comic
00:36:18,242,36300,265.333333333333,7,comic
00:36:27,243,36450,0,7,comic
00:36:36,244,36600,185.333333333333,7,comic
00:36:45,245,36750,680,7,comic
00:36:54,246,36900,335,7,comic
00:37:03,247,37050,162.333333333333,7,comic
00:37:12,248,37200,816,7,comic
