nodes,edges,density,components
13, 78, 1.0, 1
14, 80, 0.879120879121, 1
22, 108, 0.467532467532, 2
27, 123, 0.350427350427, 2
31, 144, 0.309677419355, 1
31, 144, 0.309677419355, 1
34, 147, 0.262032085561, 2
34, 147, 0.262032085561, 2
37, 150, 0.225225225225, 3
37, 150, 0.225225225225, 3
40, 156, 0.2, 3
45, 166, 0.167676767677, 4
51, 210, 0.164705882353, 3
55, 230, 0.154882154882, 3
57, 237, 0.148496240602, 3
57, 239, 0.149749373434, 3
60, 264, 0.149152542373, 2
60, 268, 0.151412429379, 2
61, 281, 0.153551912568, 1
62, 282, 0.149127445796, 1
65, 294, 0.141346153846, 1
66, 297, 0.138461538462, 1
70, 303, 0.125465838509, 2
70, 305, 0.126293995859, 2
78, 407, 0.135531135531, 2
79, 412, 0.133722817267, 2
80, 418, 0.132278481013, 2
84, 433, 0.124211130235, 2
84, 433, 0.124211130235, 2
90, 454, 0.113358302122, 2
90, 454, 0.113358302122, 2
91, 457, 0.1115995116, 2
101, 546, 0.108118811881, 2
102, 549, 0.10658124636, 2
102, 549, 0.10658124636, 2
104, 550, 0.102688573562, 3
108, 613, 0.106092073382, 3
108, 613, 0.106092073382, 3
112, 633, 0.101833976834, 3
112, 633, 0.101833976834, 3
114, 634, 0.0984319205092, 4
116, 640, 0.095952023988, 4
117, 645, 0.0950486295314, 4
117, 645, 0.0950486295314, 4
117, 645, 0.0950486295314, 4
123, 681, 0.0907636945222, 4
123, 681, 0.0907636945222, 4
125, 684, 0.0882580645161, 4
127, 693, 0.0866141732283, 4
129, 706, 0.0855135658915, 4
137, 760, 0.0815800772864, 4
137, 760, 0.0815800772864, 4
146, 805, 0.0760510155881, 4
146, 805, 0.0760510155881, 4
150, 811, 0.0725727069351, 5
154, 817, 0.0693489517019, 6
160, 832, 0.0654088050314, 7
160, 832, 0.0654088050314, 7
162, 837, 0.064182194617, 7
162, 837, 0.064182194617, 7
163, 844, 0.0639248655609, 7
166, 847, 0.0618473895582, 8
166, 847, 0.0618473895582, 8
166, 847, 0.0618473895582, 8
167, 849, 0.0612509919919, 8
170, 859, 0.0597981204316, 8
178, 1001, 0.0635434520409, 8
180, 1002, 0.0621973929236, 9
185, 1023, 0.0601057579318, 8
185, 1023, 0.0601057579318, 8
189, 1033, 0.0581447709107, 8
189, 1033, 0.0581447709107, 8
190, 1048, 0.0583681425787, 8
198, 1084, 0.055581192637, 8
198, 1084, 0.055581192637, 8
198, 1085, 0.0556324668, 8
