nodes,edges,density,components
0, 0, 0, 0
3, 3, 1.0, 1
19, 155, 0.906432748538, 1
19, 155, 0.906432748538, 1
22, 212, 0.917748917749, 1
22, 212, 0.917748917749, 1
22, 212, 0.917748917749, 1
22, 212, 0.917748917749, 1
22, 212, 0.917748917749, 1
22, 212, 0.917748917749, 1
23, 213, 0.841897233202, 1
24, 218, 0.789855072464, 1
24, 218, 0.789855072464, 1
30, 245, 0.563218390805, 1
42, 462, 0.536585365854, 1
42, 462, 0.536585365854, 1
42, 462, 0.536585365854, 1
62, 692, 0.365943945003, 1
62, 692, 0.365943945003, 1
75, 852, 0.307027027027, 1
76, 870, 0.305263157895, 1
89, 1074, 0.274259448417, 1
91, 1079, 0.263492063492, 1
92, 1090, 0.260391782131, 1
104, 1156, 0.215832710978, 2
106, 1171, 0.21042228212, 2
114, 1278, 0.19841639497, 2
114, 1278, 0.19841639497, 2
114, 1278, 0.19841639497, 2
125, 1427, 0.184129032258, 2
125, 1427, 0.184129032258, 2
125, 1427, 0.184129032258, 2
147, 1870, 0.174261485416, 2
151, 1888, 0.166710816777, 2
151, 1888, 0.166710816777, 2
151, 1888, 0.166710816777, 2
151, 1888, 0.166710816777, 2
154, 1933, 0.164077752313, 2
187, 2738, 0.157437755161, 2
201, 3002, 0.149353233831, 2
207, 3141, 0.147319544111, 2
210, 3211, 0.14632034632, 2
212, 3265, 0.145980506125, 2
212, 3265, 0.145980506125, 2
212, 3265, 0.145980506125, 2
213, 3269, 0.144786960758, 2
218, 3347, 0.141504248932, 2
218, 3347, 0.141504248932, 2
239, 3711, 0.130480644141, 2
239, 3711, 0.130480644141, 2
247, 3982, 0.13106876008, 2
247, 3982, 0.13106876008, 2
261, 4299, 0.126702033599, 2
261, 4299, 0.126702033599, 2
261, 4299, 0.126702033599, 2
263, 4304, 0.124923809247, 2
264, 4307, 0.124063832239, 2
264, 4307, 0.124063832239, 2
269, 4338, 0.120346224269, 2
269, 4338, 0.120346224269, 2
270, 4349, 0.119757675892, 2
270, 4349, 0.119757675892, 2
273, 4371, 0.117727860375, 2
273, 4371, 0.117727860375, 2
274, 4374, 0.116948744686, 2
275, 4377, 0.116177836762, 2
291, 4695, 0.111269107714, 2
294, 4743, 0.110120498711, 2
294, 4743, 0.110120498711, 2
294, 4743, 0.110120498711, 2
294, 4743, 0.110120498711, 2
294, 4743, 0.110120498711, 2
294, 4756, 0.110422325927, 2
295, 4770, 0.109996540989, 2
295, 4770, 0.109996540989, 2
298, 4785, 0.108128262491, 2
301, 4830, 0.106976744186, 2
301, 4830, 0.106976744186, 2
301, 4830, 0.106976744186, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
301, 4832, 0.107021040975, 2
308, 4952, 0.104742163374, 2
308, 4952, 0.104742163374, 2
313, 4984, 0.102072581306, 2
313, 4984, 0.102072581306, 2
322, 5020, 0.0971343433757, 3
324, 5021, 0.0959561212399, 4
324, 5021, 0.0959561212399, 4
331, 5063, 0.0927034697427, 4
331, 5063, 0.0927034697427, 4
339, 5213, 0.0909916042659, 4
349, 5371, 0.0884464644469, 3
349, 5371, 0.0884464644469, 3
349, 5371, 0.0884464644469, 3
349, 5371, 0.0884464644469, 3
349, 5371, 0.0884464644469, 3
354, 5409, 0.0865703173765, 3
356, 5463, 0.0864535527773, 3
356, 5463, 0.0864535527773, 3
356, 5463, 0.0864535527773, 3
377, 5780, 0.081550877589, 3
393, 6023, 0.0781923456405, 3
393, 6023, 0.0781923456405, 3
393, 6023, 0.0781923456405, 3
405, 6224, 0.076078718983, 3
405, 6224, 0.076078718983, 3
407, 6237, 0.0754892823858, 3
407, 6237, 0.0754892823858, 3
407, 6237, 0.0754892823858, 3
407, 6237, 0.0754892823858, 3
414, 6347, 0.0742417330479, 3
416, 6360, 0.0736793327155, 3
416, 6363, 0.0737140871177, 3
417, 6367, 0.073406659288, 3
417, 6367, 0.073406659288, 3
417, 6367, 0.073406659288, 3
418, 6377, 0.0731701719964, 3
418, 6377, 0.0731701719964, 3
433, 6547, 0.0700004276794, 3
433, 6547, 0.0700004276794, 3
433, 6547, 0.0700004276794, 3
433, 6547, 0.0700004276794, 3
446, 6884, 0.069370685746, 3
479, 8180, 0.0714529048488, 3
479, 8180, 0.0714529048488, 3
480, 8232, 0.0716075156576, 3
480, 8232, 0.0716075156576, 3
480, 8232, 0.0716075156576, 3
482, 8265, 0.0712985567757, 3
487, 8482, 0.071674229557, 3
487, 8482, 0.071674229557, 3
487, 8482, 0.071674229557, 3
487, 8482, 0.071674229557, 3
487, 8482, 0.071674229557, 3
493, 8598, 0.0708949685846, 3
503, 8715, 0.0690280626995, 3
503, 8715, 0.0690280626995, 3
515, 9048, 0.0683616032639, 3
515, 9048, 0.0683616032639, 3
534, 9586, 0.0673595154275, 3
534, 9586, 0.0673595154275, 3
534, 9586, 0.0673595154275, 3
534, 9586, 0.0673595154275, 3
534, 9586, 0.0673595154275, 3
535, 9622, 0.0673597255767, 3
535, 9622, 0.0673597255767, 3
537, 9695, 0.0673656855388, 3
539, 9797, 0.0675697112235, 3
541, 9870, 0.0675703429862, 3
541, 9870, 0.0675703429862, 3
541, 9870, 0.0675703429862, 3
541, 9870, 0.0675703429862, 3
541, 9870, 0.0675703429862, 3
541, 9870, 0.0675703429862, 3
541, 9870, 0.0675703429862, 3
558, 10294, 0.0662406774644, 3
568, 10579, 0.06569664903, 3
568, 10579, 0.06569664903, 3
568, 10580, 0.0657028591301, 3
568, 10580, 0.0657028591301, 3
568, 10580, 0.0657028591301, 3
571, 10602, 0.0651488616462, 3
571, 10608, 0.0651857314038, 3
571, 10608, 0.0651857314038, 3
580, 10663, 0.0635042582336, 3
580, 10663, 0.0635042582336, 3
580, 10663, 0.0635042582336, 3
580, 10663, 0.0635042582336, 3
580, 10663, 0.0635042582336, 3
583, 10686, 0.0629873919117, 2
583, 10686, 0.0629873919117, 2
583, 10686, 0.0629873919117, 2
584, 10689, 0.06278930426, 2
584, 10689, 0.06278930426, 2
584, 10689, 0.06278930426, 2
604, 11130, 0.0611182498105, 2
